mass,name,desc,dup,new_name,new_desc
89,Y89Di,CD45_89,FALSE,Y89Di,CD45_89
115,In115Di,CD45_115,FALSE,In115Di,CD45_115
131,Xe131Di,Xe131Di,FALSE,Xe131Di,Xe131Di
133,Cs133Di,Cs133Di,FALSE,Cs133Di,Cs133Di
139,La139Di,La139Di,TRUE,La139Di,FceRIa
139,La139Di,FceRIa,TRUE,La139Di,FceRIa
140,Ce140Di,Ce140Di,FALSE,Ce140Di,Ce140Di
141,Pr141Di,HLA-ABC,FALSE,Pr141Di,HLA-ABC
142,Nd142Di,CD19,TRUE,Nd142Di,CD19
142,Ce142Di,Ce142Di,TRUE,Nd142Di,CD19
143,Nd143Di,CD117,FALSE,Nd143Di,CD117
144,Nd144Di,CD141,FALSE,Nd144Di,CD141
145,Nd145Di,PE-CCR2,FALSE,Nd145Di,PE-CCR2
146,Nd146Di,CD64,FALSE,Nd146Di,CD64
147,Sm147Di,Gata6,FALSE,Sm147Di,Gata6
148,Nd148Di,CD16,FALSE,Nd148Di,CD16
149,Sm149Di,Sm149Di,FALSE,Sm149Di,Sm149Di
150,Nd150Di,Nd150Di,FALSE,Nd150Di,Nd150Di
151,Eu151Di,CD123,FALSE,Eu151Di,CD123
152,Sm152Di,CD66b,FALSE,Sm152Di,CD66b
153,Eu153Di,CD1c,FALSE,Eu153Di,CD1c
154,Sm154Di,CD163,FALSE,Sm154Di,CD163
155,Gd155Di,Gd155Di,FALSE,Gd155Di,Gd155Di
156,Gd156Di,CD86,FALSE,Gd156Di,CD86
158,Gd158Di,CD33,FALSE,Gd158Di,CD33
159,Tb159Di,CD45_159,FALSE,Tb159Di,CD45_159
160,Gd160Di,CD14,FALSE,Gd160Di,CD14
161,Dy161Di,Dy161Di,FALSE,Dy161Di,Dy161Di
162,Dy162Di,CD11c,FALSE,Dy162Di,CD11c
163,Dy163Di,APC-CD115,FALSE,Dy163Di,APC-CD115
164,Dy164Di,CCR3,FALSE,Dy164Di,CCR3
165,Ho165Di,CD116,FALSE,Ho165Di,CD116
166,Er166Di,CD24,FALSE,Er166Di,CD24
167,Er167Di,Er167Di,FALSE,Er167Di,Er167Di
168,Er168Di,CD206,FALSE,Er168Di,CD206
169,Tm169Di,PPARg,FALSE,Tm169Di,PPARg
170,Er170Di,CD3,FALSE,Er170Di,CD3
171,Yb171Di,CD68,FALSE,Yb171Di,CD68
172,Yb172Di,CD11b,FALSE,Yb172Di,CD11b
173,Yb173Di,Yb173Di,FALSE,Yb173Di,Yb173Di
174,Yb174Di,HLADR,FALSE,Yb174Di,HLADR
175,Lu175Di,PD-L1,FALSE,Lu175Di,PD-L1
176,Lu176Di,CD56,TRUE,Lu176Di,CD56
176,Yb176Di,Yb176Di,TRUE,Lu176Di,CD56
176,Lu176Di,Lu176Di,TRUE,Lu176Di,CD56
176,Yb176Di,CD56,TRUE,Lu176Di,CD56
189,Os189Di,Os189Di,FALSE,Os189Di,Os189Di
191,Ir191Di,DNA,FALSE,Ir191Di,DNA
193,Ir193Di,DNA,FALSE,Ir193Di,DNA
195,Pt195Di,Cisplatin,FALSE,Pt195Di,Cisplatin
